SOURCE,SOURCE_BRO,TARGET,TARGET_BRO,MODE,EPOCHS,ITER,SIZE,seconds,sourcecpu,sourcemem,targetcpu,targetmem
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.4,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.35,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.37,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.34,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.5,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.39,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.4,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.46,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.47,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.47,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.45,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.48,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.41,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.33,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.43,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.35,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.4,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.32,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.44,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.35,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.44,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.45,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.37,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.32,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.36,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.34,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.43,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.37,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.49,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.41,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.38,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.4,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.36,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.41,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.51,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.42,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.52,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.45,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.4,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.4,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.41,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.4,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.44,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.44,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.38,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.34,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.41,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.32,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.4,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.48,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.41,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.34,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.37,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.38,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.51,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.39,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.43,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.32,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.4,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.33,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.44,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.47,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.36,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.39,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.5,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.44,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.42,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.37,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.35,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.43,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.4,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.44,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.41,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.38,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.49,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.32,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.35,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.4,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.5,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.33,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.38,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.33,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.36,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.34,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.44,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.36,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.41,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.38,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.49,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.44,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.4,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.41,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.43,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.32,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.38,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.38,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.43,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.46,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.49,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.37,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.39,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.33,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.47,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.34,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.46,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.46,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.52,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.36,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.4,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.37,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.44,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.34,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.46,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.38,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.51,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.46,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.48,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.44,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.49,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.41,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.45,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.44,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.37,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.33,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.37,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.44,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.46,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.38,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.5,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.48,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.42,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.42,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.41,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.39,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.43,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.31,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.38,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.4,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.4,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.42,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.45,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.32,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.47,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.44,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.44,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.4,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.36,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.31,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.41,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.39,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.52,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.4,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.53,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.38,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.45,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.38,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.4,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.42,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.39,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.43,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.38,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.42,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.41,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.42,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.52,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.32,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.48,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.32,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.5,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.38,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.37,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.38,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.4,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.4,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.4,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.34,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,par,100,100,5,2.46,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,par,100,100,5,2.48,0.0,0.0,0.0,0.0
