SOURCE,SOURCE_BRO,TARGET,TARGET_BRO,MODE,EPOCHS,ITER,SIZE,seconds,sourcecpu,sourcemem,targetcpu,targetmem
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.77,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.76,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.86,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.85,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.86,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.86,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.77,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.76,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.83,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.82,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.8,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.8,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.76,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.76,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.68,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.69,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.69,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.69,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.83,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.83,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.86,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.87,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.79,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.8,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.83,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.83,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.77,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.77,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.78,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.78,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.83,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.82,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.77,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.75,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.91,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.91,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.8,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.79,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.74,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.74,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.92,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.92,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.77,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.76,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.77,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.78,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.74,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.73,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.89,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.89,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.77,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.76,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.72,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.72,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.83,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.85,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.82,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.82,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.85,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.85,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.88,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.88,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.82,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.8,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.78,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.78,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.76,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.76,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.86,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.84,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.78,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.78,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.88,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.89,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.79,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.79,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.91,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.91,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.7,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.67,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.95,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.93,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.8,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.81,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.79,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.78,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.84,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.83,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.65,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.96,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.95,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.78,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.78,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.92,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.92,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.88,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.88,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.94,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.94,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.77,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.77,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.87,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.87,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.93,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.92,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,5000,4,28.81,0.0,0.0,0.0,0.0
10.0.0.3,False,10.0.0.2,False,seq,100,5000,4,28.81,0.0,0.0,0.0,0.0
