SOURCE,SOURCE_BRO,TARGET,TARGET_BRO,MODE,EPOCHS,ITER,SIZE,seconds,sourcecpu,sourcemem,targetcpu,targetmem
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.59,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.63,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.62,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.63,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.61,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.63,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.6,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.59,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.6,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.6,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.64,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.61,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.62,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.66,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.63,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.62,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.61,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.67,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.61,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.62,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.62,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.63,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.6,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.62,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.59,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.63,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.64,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.63,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.6,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.62,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.65,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.62,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.6,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.61,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.59,0.0,0.0,0.0,0.0
10.0.0.1,False,10.0.0.2,False,seq,100,800,4,4.58,0.0,0.0,0.0,0.0
